acc_t_amp_z,2,3,12,0,1,0,28,1,9,0,0,0,0,2,5,0,13,6,1,0,33,2,1,10,0,0,1,16,2,26,0,0,1,8,0,0,1,29,2,16,14,0,1,6,0,6,0,9,4,0,18,1,1,22,1,1,0,2,0,1,38,2,15,0,3,0,22,1,21,1,0,1,0,1,2,4,14,0,3,0,0,0,12,3,0,13,1,28,25,1,2,11,5.89,8.92
gyro_f_skew_y,0,1,18,0,0,0,35,0,6,0,0,0,0,0,1,0,10,1,0,0,37,1,0,4,0,0,0,14,0,21,0,0,0,1,0,0,0,22,0,9,9,0,0,6,0,1,0,14,1,0,17,0,0,32,1,0,0,0,0,0,35,0,12,0,0,0,26,0,10,0,0,0,0,0,1,7,18,0,1,0,0,0,16,8,0,36,0,37,11,0,0,34,5.59,10.39
acc_p_interq_x,1,1,26,0,0,0,18,0,7,0,0,0,0,1,5,0,9,4,0,0,27,2,0,6,0,0,0,7,1,27,0,0,0,7,0,0,0,38,0,12,13,0,4,3,0,3,0,14,4,0,18,0,0,32,0,0,0,1,0,0,21,1,16,0,3,0,18,0,9,0,0,0,0,0,1,11,19,0,4,0,0,0,20,5,0,20,0,27,29,0,1,12,5.52,9.06
gyro_p_amp_a,0,0,12,0,0,0,29,0,6,0,0,0,0,0,2,0,14,3,0,0,29,2,0,6,0,0,0,15,0,26,0,0,0,2,0,0,0,25,0,10,11,0,0,6,0,3,0,15,2,0,17,0,0,17,0,0,0,0,0,0,27,0,17,0,1,0,27,0,16,0,0,0,0,0,3,2,15,0,1,0,0,0,20,11,0,16,0,38,33,0,0,17,5.39,9.31
gyro_a_amp_a,0,1,19,0,0,0,24,0,8,0,0,0,0,0,3,0,17,3,1,0,22,1,0,7,0,0,0,14,0,17,0,0,0,2,0,0,1,24,0,14,8,0,0,8,0,5,0,14,2,0,8,0,0,36,0,0,1,0,0,0,31,0,17,0,1,0,15,0,14,0,0,0,1,0,5,7,12,0,2,1,0,0,17,10,0,22,1,28,16,0,0,33,5.36,8.82
acc_t_amp_y,1,1,25,1,1,2,5,1,3,0,0,1,0,1,1,0,13,3,0,0,21,2,1,7,1,1,1,1,1,22,0,2,2,3,1,0,2,21,1,3,11,0,0,2,0,2,0,16,1,1,20,1,1,31,2,2,1,1,0,1,36,1,13,1,1,0,26,1,0,1,0,2,0,2,1,0,22,1,1,1,0,2,11,6,2,14,1,30,33,2,1,24,5.23,8.85
acc_t_skew_a,0,0,21,0,0,0,24,0,2,0,0,0,1,0,2,0,7,3,0,0,30,0,0,2,0,0,0,6,0,27,0,0,0,2,0,0,0,22,0,3,7,0,0,0,0,0,0,7,0,0,16,0,0,34,0,0,0,0,0,0,36,0,11,0,0,0,21,0,8,0,1,0,0,0,0,8,14,0,2,0,0,0,21,2,0,39,0,46,32,0,0,21,5.2,10.49
acc_t_skew_z,2,2,8,2,2,2,10,2,6,0,1,1,1,2,3,1,9,4,2,2,20,3,2,7,1,2,1,13,2,21,1,2,3,3,1,0,3,14,2,9,13,3,2,5,2,3,1,10,2,2,15,3,1,7,2,3,1,2,1,2,12,2,14,2,3,1,11,1,12,2,1,2,1,2,2,2,21,2,3,1,2,3,19,13,3,22,2,7,28,2,3,24,5.18,6.17
acc_f_peakXY1,0,1,13,1,1,1,29,0,7,1,0,1,0,0,4,1,9,4,0,0,17,3,0,5,1,0,1,11,0,16,1,1,1,1,0,3,0,22,0,9,15,1,0,4,0,2,2,9,0,1,8,1,1,29,1,1,1,1,2,1,24,0,14,1,0,1,17,1,15,1,1,0,2,1,4,8,14,0,0,3,1,1,6,5,0,17,1,32,33,0,0,29,5.18,8.2
acc_a_cftor_y,1,0,21,0,0,0,23,0,5,0,0,0,0,0,0,0,11,1,0,0,12,0,0,6,0,0,0,1,0,27,0,0,0,1,0,0,0,22,0,19,10,0,0,1,0,0,0,12,0,0,17,0,0,36,0,0,1,0,0,0,36,0,13,0,0,0,29,0,2,0,0,0,0,0,0,10,10,0,0,0,0,0,14,0,0,10,0,35,36,0,0,41,5.03,10.15
