acc_p_skew_x,0,2,0,10,0,0,1,0,0,5,0,0,8,6,0,0,0,4,0,0,1,0,0,0,8,0,0,9,0,1,0,0,0,0,0,0,0,0,3,0,0,3,1,3,0,0,7,9,0,0,6,0,0,1,10,0,5,0,5,0,0,3,0,2,11,11,0,0,0,0,0,4,0,1,2,0,0,0,1,4,7,3,0,4,5,6,1,0,0,5,0,0,4,4,1,3,0,1.96,3.0
acc_t_mean_a,0,1,2,13,0,0,2,0,0,5,0,0,12,8,0,0,0,1,0,0,1,0,0,0,7,0,1,6,0,1,0,0,0,1,0,0,0,0,7,0,0,0,3,6,0,0,3,8,0,0,1,0,0,1,6,1,6,0,5,0,0,0,0,2,10,16,0,2,0,0,0,1,0,1,0,0,0,0,1,1,6,8,0,1,2,1,5,0,0,10,0,0,7,0,0,5,0,1.93,3.35
gyro_t_zaCor,0,1,3,12,0,0,3,1,1,1,2,0,8,3,0,1,0,1,0,0,0,0,0,0,12,0,0,12,0,0,1,0,0,0,1,2,0,0,7,0,0,2,3,4,0,0,4,3,1,1,3,1,0,0,6,0,1,1,3,0,1,4,1,7,5,8,0,0,0,1,1,1,0,0,5,0,2,1,0,1,4,3,1,9,3,3,4,2,0,5,0,1,4,3,0,1,1,1.93,2.75
acc_p_lgEnergy_a,0,3,2,7,3,1,3,1,0,3,0,0,9,6,0,0,0,4,0,0,1,2,0,1,11,0,0,5,0,1,0,0,0,0,0,1,0,0,4,0,0,2,1,4,0,0,2,4,0,1,2,0,1,1,13,0,4,0,4,1,0,0,0,3,7,2,0,0,0,0,1,3,0,1,1,0,0,0,2,6,2,3,0,9,1,4,3,0,0,10,0,0,7,2,1,2,0,1.84,2.72
acc_p_subX_z,1,0,1,21,0,0,0,0,0,3,0,1,0,11,0,1,0,0,1,1,0,0,0,0,17,1,0,14,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,12,1,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,12,10,0,0,1,0,0,1,1,0,0,1,0,0,1,1,12,0,0,0,0,14,2,0,0,1,0,0,12,2,0,1,1,1.79,4.17
acc_f_difX_z,0,2,1,14,0,0,2,0,1,7,1,0,18,2,1,1,0,0,0,0,1,1,0,0,10,0,1,6,0,1,0,1,0,1,1,1,0,0,7,0,0,0,2,4,0,0,1,8,1,1,2,0,0,0,1,0,2,1,2,0,1,0,1,0,14,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,8,0,2,2,2,3,1,0,11,0,1,0,0,0,4,1,1.79,3.49
acc_a_lgEnergy_a,1,3,1,10,2,0,2,0,1,5,1,0,9,6,1,1,0,0,0,1,1,0,0,1,10,1,1,16,0,2,0,1,1,1,0,0,0,0,2,1,1,2,2,2,0,0,5,2,0,0,1,0,0,2,5,0,3,0,5,0,0,0,0,1,3,3,0,0,0,1,1,2,0,1,1,1,0,1,0,2,6,5,0,0,3,6,0,0,1,11,0,0,4,4,0,5,0,1.79,2.79
acc_p_peakXY1,0,1,1,3,2,1,2,1,0,2,1,0,9,8,0,0,0,2,0,0,0,1,0,2,4,0,0,9,0,1,1,0,0,0,0,0,0,1,2,0,0,4,3,1,0,2,3,4,0,1,2,0,0,1,9,0,6,0,9,1,0,0,0,2,7,5,0,1,0,0,1,1,1,1,2,0,0,1,1,3,7,1,2,4,1,3,3,0,1,11,1,1,5,2,3,2,0,1.78,2.48
gyro_t_amp_x,0,1,0,3,0,1,1,1,0,2,0,0,17,4,0,0,0,0,0,0,0,0,0,1,4,1,0,6,0,1,0,0,1,0,0,0,1,0,5,0,0,1,1,6,0,1,1,5,2,0,1,1,1,1,11,0,6,0,3,0,0,1,0,1,12,7,0,0,0,0,0,3,1,0,1,0,0,1,1,1,5,1,0,1,3,7,0,0,0,10,0,1,8,2,1,2,0,1.66,2.96
gyro_a_subY_y,0,0,1,4,2,0,3,0,0,0,0,0,8,4,0,0,0,6,1,0,3,2,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,1,0,0,0,2,0,0,5,0,0,2,9,0,1,0,1,0,0,0,0,6,9,5,0,0,0,0,0,7,0,1,5,0,0,1,2,7,8,3,0,3,6,0,1,0,0,1,0,0,6,8,1,0,0,1.59,2.56
