gyro_t_kurt_z,0,6,0,2,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0,5,1,0,0,0,3,0,0,3,0,0,0,8,0,2,0,0,0,4,0,0,0,3,9,0,0,0,1.35,3.14
acc_t_xyCor,1,2,0,4,0,1,1,1,0,0,0,1,4,1,2,0,0,1,0,1,0,1,0,4,2,1,2,2,1,1,4,2,1,2,0,2,4,1,1,1,0,1,7,1,2,0,0,0,3,1,1,0,1,2,0,1,1,1.28,1.39
gyro_p_entr_x,0,9,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,1,4,3,0,0,0,6,7,1,0,0,0,0,7,0,0,0,0,0,1,0,0,0,7,0,0,0,0,1.23,2.66
gyro_t_skew_y,0,1,1,4,0,1,1,1,0,2,3,0,3,0,0,1,1,0,1,1,0,1,0,0,1,1,2,0,1,3,4,1,0,0,3,4,6,0,1,2,1,0,4,1,0,1,1,0,2,1,0,1,2,0,3,0,1,1.21,1.36
acc_a_skew_z,0,3,1,14,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,4,1,1,1,0,0,2,5,0,0,0,1,4,6,1,2,1,0,1,6,0,1,0,0,0,4,0,0,0,0,3,0,0,0,1.18,2.33
gyro_t_amp_y,1,5,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,2,0,5,0,0,1,7,1,0,1,0,8,3,0,2,0,0,0,5,0,1,0,0,0,6,0,0,0,3,5,0,0,0,1.16,2.04
gyro_f_difX_z,1,3,0,4,0,0,0,0,0,1,1,0,9,1,0,0,0,0,0,0,0,0,0,4,1,0,7,0,0,1,4,1,0,1,0,3,9,0,1,1,0,0,4,0,1,0,0,0,1,0,0,0,1,4,1,0,0,1.14,2.11
acc_f_peakXY3,1,2,0,1,0,1,0,0,0,0,0,0,6,2,0,0,0,1,0,1,0,2,0,5,2,1,1,0,0,3,1,1,0,1,3,3,3,0,4,1,0,1,3,0,1,0,0,0,2,0,0,0,4,3,0,1,0,1.07,1.44
gyro_a_mainX_y,1,1,0,5,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,7,3,0,1,0,0,2,0,2,0,0,0,13,3,0,5,1,0,0,6,0,3,0,0,0,0,0,0,0,2,2,0,0,0,1.05,2.28
acc_p_amp_y,0,5,0,8,0,0,0,0,1,2,0,0,11,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,5,1,0,0,0,5,5,0,1,0,0,0,5,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1.02,2.21
