acc_vardif,0,1,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,9,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0.56,1.37
acc_p_interq_y,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.54,2.58
acc_a_subX_x,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,1,5,0,0,0,0,0,0,0,1,3,0,6,0,0,0,0,0.52,1.3
acc_f_subX_y,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,4,1,0,0,2,1,2,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0.5,0.84
acc_a_cftor_x,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0.48,0.54
acc_p_subX_x,0,1,1,1,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,2,0,2,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0.48,0.61
acc_t_entr_y,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,8,0,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0.48,1.33
acc_f_mean_x,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,5,2,0,2,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0.48,1.01
acc_f_mainX_z,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4,0,0,0,2,1,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.46,0.97
gyro_f_kurt_y,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,2,2,0,6,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.46,1.05
gyro_f_kurt_a,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,5,3,0,2,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.46,0.93
acc_t_skew_z,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0.46,1.2
acc_a_mainX_z,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0.44,1.13
acc_a_entr_a,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.44,1.64
acc_p_concent,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,2,1,1,0,0,0.4,0.53
acc_f_peakXY3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,2,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0.4,0.64
acc_meandif,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,2,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,2,0,1,0,2,0,0,0.4,0.78
acc_p_peakXY1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0.4,0.73
gyro_f_interq_a,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4,2.27
acc_a_subX_y,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0.4,0.49
acc_a_mainY_x,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0.38,1.05
acc_t_skew_y,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,8,0,1,0,0,0,0,0.38,1.35
gyro_p_interq_a,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,5,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0.38,0.83
acc_a_cftor_z,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,1,0,0,0,2,0,2,0,1,0,0,0.36,0.83
gyro_a_subY_x,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0.36,0.6
acc_p_difY_z,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,0.36,0.8
gyro_f_lgEnergy_z,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0.34,1.42
acc_a_amp_x,2,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.34,0.56
acc_f_skew_y,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.34,1.41
