gyro_peaks_abnormal,0,2,20,15,1,4,11,5,0,14,19,27,2,1,1,0,21,1,1,8,12,2,1,2,3,9,1,4,1,6,13,1,3,2,1,2,10,14,1,1,5,7,22,8,6,1,2,4,6,5,1,3,15,9,9,2,1,2,6,9,9,14,11,9,22,5,1,18,17,4,2,6,1,5,3,0,4,2,0,35,28,2,1,1,6,3,8,8,1,1,0,2,2,16,1,24,16,0,0,6.6,7.37
acc_t_skew_y,0,3,12,6,34,3,4,2,1,14,24,62,1,1,0,1,22,0,0,5,16,3,0,1,4,2,1,2,1,3,7,0,1,0,1,2,6,11,1,1,7,12,23,3,7,2,2,1,4,2,0,2,11,3,2,0,1,0,4,7,14,5,16,8,10,11,2,12,15,15,1,5,1,1,9,3,2,2,1,22,12,1,0,1,2,3,11,4,1,1,3,2,2,13,1,67,17,0,2,6.56,10.6
acc_a_std_a,0,2,19,12,12,5,5,3,1,11,30,23,0,0,1,1,5,1,1,6,21,1,0,2,4,2,1,2,1,2,1,0,0,2,1,0,4,8,2,0,0,3,42,4,8,1,2,3,5,2,0,1,9,3,4,2,1,2,5,5,8,14,8,7,5,10,1,7,27,1,2,3,1,0,4,1,1,1,0,16,51,1,1,1,4,2,47,8,1,1,5,1,1,17,1,30,9,1,1,6.0,9.67
acc_t_max_x,1,0,17,9,46,4,5,2,0,12,12,27,0,0,0,0,15,0,0,2,21,0,0,0,4,0,0,0,1,0,4,1,1,1,0,0,1,8,0,0,5,2,30,1,2,0,2,0,2,0,1,2,11,1,1,0,1,0,6,7,9,11,7,1,23,0,1,29,11,4,0,4,0,2,1,3,6,0,1,49,26,0,0,0,1,0,45,8,1,1,2,0,0,11,0,22,16,0,0,5.69,10.17
acc_a_mainX_y,0,2,24,8,28,2,3,2,0,9,24,54,1,1,0,0,11,0,1,1,28,1,0,0,1,2,0,0,0,0,2,1,0,1,0,0,0,6,0,0,5,3,34,1,0,0,0,2,0,3,0,1,11,2,2,1,0,1,0,6,4,3,7,3,13,2,0,17,7,1,1,3,1,1,1,1,0,1,1,35,67,0,0,1,1,0,21,8,0,0,0,1,0,22,0,33,12,1,0,5.6,11.43
gyro_t_zaCor,0,4,20,15,17,3,3,1,0,9,20,49,0,0,1,1,10,0,0,4,18,1,0,0,5,1,0,3,1,0,4,0,2,2,0,4,6,6,0,0,5,2,15,1,4,1,1,2,7,1,0,3,16,1,6,0,1,0,3,4,2,6,6,1,6,8,1,7,7,6,3,2,1,5,5,2,2,1,0,26,17,0,1,2,3,4,18,4,1,0,0,1,1,17,1,72,5,0,1,5.33,9.84
acc_t_amp_a,0,1,20,11,25,6,5,3,0,13,20,35,0,0,0,0,14,0,0,4,13,0,0,1,0,5,0,1,0,3,6,0,2,1,0,1,5,8,0,0,5,4,19,4,8,0,1,2,3,1,1,2,15,4,5,1,0,0,6,3,9,13,9,5,17,5,0,19,13,4,1,4,0,3,1,0,4,0,0,24,25,0,0,0,3,1,9,6,0,0,1,0,0,21,0,27,14,0,0,5.3,7.52
acc_a_subY_x,0,0,20,10,32,3,2,0,0,2,22,28,0,1,0,1,5,1,0,2,18,0,0,1,0,2,1,0,0,0,2,0,0,1,1,0,3,7,0,0,1,4,43,5,4,0,0,1,2,0,1,0,6,2,2,1,1,0,3,8,5,10,6,7,18,1,0,19,6,0,0,1,0,1,0,1,0,0,1,38,38,0,0,1,1,1,26,2,0,0,1,0,0,12,0,28,15,1,1,4.95,9.32
gyro_t_interq_y,1,2,18,11,26,8,8,4,0,12,13,16,1,0,1,0,5,0,1,5,5,1,1,3,0,7,0,2,1,3,7,1,3,4,1,2,7,11,1,1,3,3,15,5,4,1,2,3,6,2,1,3,12,7,6,3,1,0,8,5,5,13,8,6,14,2,1,7,4,6,2,3,1,4,1,0,5,1,1,15,13,0,1,0,5,2,11,6,1,0,2,1,1,17,1,18,7,0,0,4.73,5.16
acc_a_std_y,1,3,14,8,15,8,6,5,3,8,12,10,3,1,1,1,10,1,2,3,10,1,0,3,7,2,2,2,2,2,4,1,1,0,3,2,5,9,0,1,5,3,15,7,16,2,1,2,4,2,2,8,6,5,4,2,2,2,2,2,2,10,6,6,6,5,0,9,11,4,3,3,1,4,6,2,2,1,2,9,11,0,2,1,5,4,8,7,2,1,2,2,1,18,2,25,8,1,0,4.61,4.48
acc_p_interq_z,0,0,16,5,11,2,0,6,0,14,16,13,0,0,0,0,7,1,0,3,14,0,0,0,8,1,0,1,0,1,3,1,0,1,0,0,0,8,1,0,6,2,35,2,9,0,0,1,0,1,0,0,12,2,2,1,1,1,4,14,8,7,4,5,7,0,1,13,8,1,0,1,0,1,1,2,0,1,0,24,40,0,0,0,0,0,51,10,1,0,2,0,0,9,0,23,7,1,0,4.59,8.5
